Season,RankingDayNum,SystemName,TeamID,OrdinalRank
2010,65,MAS,3274,1
2010,65,MAS,3416,2
2010,65,MAS,3425,3
2010,65,MAS,3260,4
2010,65,MAS,3384,5
2010,65,MAS,3445,6
2010,65,MAS,3356,7
2010,65,MAS,3473,8
2010,65,MAS,3339,9
2010,65,MAS,3258,10
2010,65,MAS,3191,11
2010,65,MAS,3327,12
2010,65,MAS,3322,13
2010,65,MAS,3175,14
2010,65,MAS,3245,15
2010,65,MAS,3181,16
2010,65,MAS,3134,17
2010,65,MAS,3256,18
2010,65,MAS,3187,19
2010,65,MAS,3457,20
2010,65,MAS,3426,21
2010,65,MAS,3170,22
2010,65,MAS,3382,23
2010,65,MAS,3275,24
2010,65,MAS,3433,25
2010,65,MAS,3143,26
2010,65,MAS,3468,27
2010,65,MAS,3438,28
2010,65,MAS,3232,29
2010,65,MAS,3217,30
2010,65,MAS,3169,31
2010,65,MAS,3448,32
2010,65,MAS,3355,33
2010,65,MAS,3353,34
2010,65,MAS,3357,35
2010,65,MAS,3459,36
2010,65,MAS,3203,37
2010,65,MAS,3111,38
2010,65,MAS,3302,39
2010,65,MAS,3399,40
2010,65,MAS,3474,41
2010,65,MAS,3320,42
2010,65,MAS,3293,43
2010,65,MAS,3436,44
2010,65,MAS,3178,45
2010,65,MAS,3127,46
2010,65,MAS,3361,47
2010,65,MAS,3396,48
2010,65,MAS,3360,49
2010,65,MAS,3292,50
2010,65,MAS,3253,51
2010,65,MAS,3204,52
2010,65,MAS,3210,53
2010,65,MAS,3352,54
2010,65,MAS,3195,55
2010,65,MAS,3238,56
2010,65,MAS,3102,57
2010,65,MAS,3413,58
2010,65,MAS,3237,59
2010,65,MAS,3131,60
2010,65,MAS,3337,61
2010,65,MAS,3405,62
2010,65,MAS,3453,63
2010,65,MAS,3375,64
2010,65,MAS,3306,65
2010,65,MAS,3311,66
2010,65,MAS,3464,67
2010,65,MAS,3207,68
2010,65,MAS,3121,69
2010,65,MAS,3432,70
2010,65,MAS,3393,71
2010,65,MAS,3190,72
2010,65,MAS,3161,73
2010,65,MAS,3456,74
2010,65,MAS,3298,75
2010,65,MAS,3429,76
2010,65,MAS,3200,77
2010,65,MAS,3409,78
2010,65,MAS,3280,79
2010,65,MAS,3146,80
2010,65,MAS,3458,81
