TeamID,TeamName
1101,Duke
1102,Kentucky
1103,Kansas
1104,North Carolina
1105,UCLA
1106,Villanova
1107,Gonzaga
1108,Michigan
1109,Arizona
1110,Virginia
1111,Baylor
1112,Houston
1113,Connecticut
1114,Auburn
1115,Tennessee
1116,Purdue
1117,Texas
1118,Alabama
1119,Creighton
1120,Marquette
1121,Xavier
1122,Illinois
1123,Indiana
1124,Michigan St
1125,Ohio St
1126,Florida
1127,Wisconsin
1128,Missouri
1129,Arkansas
1130,Iowa St
1131,San Diego St
1132,Utah St
1133,Nevada
1134,Loyola Chicago
1135,Wichita St
1136,Memphis
1137,Cincinnati
1138,Temple
1139,SMU
1140,Tulsa
1141,UCF
1142,East Carolina
1143,South Florida
1144,Tulane
1145,Navy
1146,Army
1147,Air Force
1148,Colgate
1149,Belmont
1150,Murray St
1151,Morehead St
1152,Eastern Kentucky
1153,Lipscomb
1154,Jacksonville St
1155,Austin Peay
1156,Tennessee St
1157,Tennessee Tech
1158,Samford
1159,Furman
1160,VMI
1161,Wofford
1162,Citadel
1163,Chattanooga
1164,ETSU
1165,UNC Greensboro
1166,Western Carolina
1167,Mercer
1168,Gardner-Webb
1169,High Point
1170,Longwood
1171,Presbyterian
1172,SC Upstate
1173,NC A&T
1174,NC Central
1175,Howard
1176,Morgan St
1177,Coppin St
1178,UMES
1179,Hampton
1180,Norfolk St
1181,Delaware St
1182,Md-Eastern Shore
1183,Bowie St
1184,VCU
1185,Richmond
1186,George Mason
1187,Old Dominion
1188,Charlotte
1189,UNCW
1190,James Madison
1191,William & Mary
1192,Drexel
1193,Hofstra
1194,Towson
1195,Northeastern
1196,Elon
1197,Delaware
1198,Stony Brook
1199,Albany
1200,Hartford
1201,Binghamton
1202,Vermont
1203,New Hampshire
1204,Maine
1205,UMBC
1206,Maryland
1207,Georgetown
1208,St John's
1209,Providence
1210,Seton Hall
1211,Butler
1212,DePaul
1213,St Joseph's
1214,La Salle
1215,Team_115
1216,Team_116
1217,Team_117
1218,Team_118
1219,Team_119
1220,Team_120
1221,Team_121
1222,Team_122
1223,Team_123
1224,Team_124
1225,Team_125
1226,Team_126
1227,Team_127
1228,Team_128
1229,Team_129
1230,Team_130
1231,Team_131
1232,Team_132
1233,Team_133
1234,Team_134
1235,Team_135
1236,Team_136
1237,Team_137
1238,Team_138
1239,Team_139
1240,Team_140
1241,Team_141
1242,Team_142
1243,Team_143
1244,Team_144
1245,Team_145
1246,Team_146
1247,Team_147
1248,Team_148
1249,Team_149
1250,Team_150
1251,Team_151
1252,Team_152
1253,Team_153
1254,Team_154
1255,Team_155
1256,Team_156
1257,Team_157
1258,Team_158
1259,Team_159
1260,Team_160
1261,Team_161
1262,Team_162
1263,Team_163
1264,Team_164
1265,Team_165
1266,Team_166
1267,Team_167
1268,Team_168
1269,Team_169
1270,Team_170
1271,Team_171
1272,Team_172
