Season,Seed,TeamID
2010,W01,3244
2010,W02,3245
2010,W03,3260
2010,W04,3235
2010,W05,3352
2010,W06,3292
2010,W07,3127
2010,W08,3416
2010,W09,3258
2010,W10,3468
2010,W11,3426
2010,W12,3210
2010,W13,3333
2010,W14,3170
2010,W15,3161
2010,W16,3393
2010,X01,3266
2010,X02,3175
2010,X03,3111
2010,X04,3384
2010,X05,3302
2010,X06,3457
2010,X07,3357
2010,X08,3275
2010,X09,3121
2010,X10,3134
2010,X11,3143
2010,X12,3256
2010,X13,3191
2010,X14,3232
2010,X15,3106
2010,X16,3409
2010,Y01,3287
2010,Y02,3436
2010,Y03,3173
2010,Y04,3356
2010,Y05,3200
2010,Y06,3169
2010,Y07,3355
2010,Y08,3274
2010,Y09,3288
2010,Y10,3330
2010,Y11,3405
2010,Y12,3339
2010,Y13,3253
2010,Y14,3227
2010,Y15,3402
2010,Y16,3311
2010,Z01,3473
2010,Z02,3291
2010,Z03,3425
2010,Z04,3444
2010,Z05,3459
2010,Z06,3342
2010,Z07,3327
2010,Z08,3203
2010,Z09,3445
2010,Z10,3181
2010,Z11,3433
2010,Z12,3423
2010,Z13,3391
2010,Z14,3322
2010,Z15,3146
2010,Z16,3324
2010,W16a,3367
2010,W16b,3187
2010,X16a,3399
2010,X16b,3429
2011,W01,3468
2011,W02,3288
2011,W03,3295
2011,W04,3245
2011,W05,3352
2011,W06,3275
2011,W07,3473
2011,W08,3436
2011,W09,3284
2011,W10,3169
2011,W11,3423
2011,W12,3342
2011,W13,3457
2011,W14,3131
2011,W15,3146
2011,W16,3445
2011,X01,3322
2011,X02,3416
2011,X03,3204
2011,X04,3330
2011,X05,3232
2011,X06,3253
2011,X07,3173
2011,X08,3302
2011,X09,3175
2011,X10,3191
2011,X11,3181
2011,X12,3339
2011,X13,3405
2011,X14,3203
2011,X15,3450
2011,X16,3320
2011,Y01,3327
2011,Y02,3187
2011,Y03,3291
2011,Y04,3417
2011,Y05,3110
2011,Y06,3426
2011,Y07,3388
2011,Y08,3429
2011,Y09,3384
2011,Y10,3467
2011,Y11,3274
2011,Y12,3389
2011,Y13,3134
2011,Y14,3260
2011,Y15,3266
2011,Y16,3127
2011,Z01,3357
2011,Z02,3258
